OC,B2_S2_veg,B3_S2_veg,B4_S2_veg,B8_S2_veg,B5_S2_veg,B6_S2_veg,B7_S2_veg,B8A_S2_veg,B11_S2_veg,B12_S2_veg,B2_S2_bare,B3_S2_bare,B4_S2_bare,B8_S2_bare,B5_S2_bare,B6_S2_bare,B7_S2_bare,B8A_S2_bare,B11_S2_bare,B12_S2_bare
19.1,0.5918975031166606,0.6699818192761096,0.6389994021791123,0.6102015601322496,0.4995066884792633,0.5461910397313499,0.5012889404352516,0.5050732096243461,0.5667575186534547,0.6937422176440087,0.2986963937621832,0.4497953248999289,0.489615972828787,0.601548718828582,0.5263225306644874,0.5118870342601864,0.5209288744083114,0.6102028916959559,0.49686290486860885,0.5381063668232267
10.4,0.5081783662591841,0.416848454979145,0.46330194151313053,0.3348020560683289,0.39658321064302143,0.3611250759637867,0.34100885364249567,0.37229588354928733,0.6212299597742325,0.7003909747952236,0.3015594541910331,0.44175650985369397,0.5903634409509924,0.7106359478631057,0.6177003983413965,0.5800208580871784,0.619622548718264,0.6917171585376791,0.7518797673207938,0.6216325584144549
20.9,0.7177914445960617,0.677153041722547,0.6318120374311982,0.5756280996004959,0.63539521803837,0.6532278765979049,0.6232010725373568,0.6398099995720712,0.7394066864539665,0.7828019870882973,0.2877717441752528,0.345232848435822,0.310621385640949,0.4021128560373315,0.3643077599456823,0.3296823033139453,0.31552397930955767,0.31207645950728646,0.2187727756275324,0.36247804295472497
11.3,0.6807067549874924,0.6295720091800731,0.6745983735431006,0.4710036678605868,0.6533846226516145,0.5292500559733166,0.5028348489748649,0.52454847871279,0.8067786356428066,0.8765086010970606,0.45396825396825397,0.5143028494121258,0.6619476382669909,0.7889967776353954,0.6846898273144841,0.6566872999154261,0.7190315186749687,0.6404103500860332,0.6531993390824109,0.5814392303250477
21.1,0.32830079640056475,0.2035866332501706,0.23188764523651265,0.16534431395509017,0.14457187678588423,0.15862058784694233,0.1638323000345598,0.1841265408255424,0.2165332532176397,0.25902626591670963,0.2877717441752528,0.345232848435822,0.310621385640949,0.4021128560373315,0.3643077599456823,0.3296823033139453,0.31552397930955767,0.31207645950728646,0.2187727756275324,0.36247804295472497
14.5,0.36506949021066293,0.25825769387567377,0.4040710855623588,0.25252703540432564,0.2908023181317099,0.24603464249384843,0.2508107578834703,0.3173408048216325,0.4516375582432507,0.468840642373204,0.38638366750208847,0.46489839467775007,0.5968834930334803,0.7475644606962666,0.6002510242178096,0.6134586548090342,0.6666028506441615,0.6595782331786635,0.5957244064190492,0.5618199757203199
15.9,0.4407877046034816,0.3243300329433354,0.3869544173131205,0.23593125774900123,0.3022951792520426,0.23168524379352284,0.2310564102267276,0.2615411295971388,0.2860820941196799,0.32725600819263717,0.335595238095238,0.5028696355597708,0.5471843310939597,0.6164903570337088,0.5839769965377806,0.5442819266231171,0.5572034530908325,0.6248265063974492,0.5535411149589189,0.5157795186803493
12.3,0.5909350832208359,0.48230928125386807,0.4450614695724816,0.27523591403774617,0.3352070078843356,0.31329556945570974,0.2936596767965881,0.28917632697370943,0.42540088429672385,0.560665711957088,0.34539125591757175,0.4736049317284763,0.44564296220772603,0.4799285825348911,0.45843829608448305,0.46282123789115404,0.4389254318559046,0.45454916127769573,0.556800434575949,0.5392453293443122
12.7,0.3971597750717599,0.31383665511019154,0.3603494318212128,0.27991329728612746,0.2769110914924886,0.34403647027208634,0.34682349559102543,0.37212471199259456,0.36760725864596433,0.3733348411029398,0.21089529379003064,0.3267967475139124,0.40246385235069315,0.5103399835932851,0.46544782826823416,0.5065765237559083,0.489183184185336,0.5059636132336269,0.48046897987822823,0.49398236767801684
13.8,0.7870142741986698,0.6831943565942882,0.6804947865822107,0.5032997830279653,0.5748805640583139,0.5757236276832678,0.582180232677323,0.5907648440649642,0.6875624716633665,0.8483171105559393,0.3426274018379281,0.4879670567232459,0.6332081059053876,0.7305250684953539,0.6740744811545696,0.6673238866606825,0.6748359957495018,0.6557128527975078,0.6273896018650547,0.6017541386851688
