OC,B1,B2,B3,B4,B5,B6,B7,NDVI,B1_bare,B2_bare,B3_bare,B4_bare,B5_bare,B6_bare,B7_bare
5.9,0.0634576,0.0698058,0.109876,0.148173,0.259977,0.296231,0.20918,0.273928703,0.103645367,0.115246233,0.18680067,0.252287337,0.331325,0.423834337,0.348488327
5.9,0.127692,0.136507,0.210941,0.230685,0.462093,0.43817,0.319032,0.334029083,0.103645367,0.115246233,0.18680067,0.252287337,0.331325,0.423834337,0.348488327
6,0.0461751,0.0567778,0.108868,0.180583,0.317465,0.346202,0.230226,0.274836964,0.110151,0.121952,0.19220801,0.25179601,0.325461,0.432899,0.36706999
6,0.0368849,0.0352534,0.0749542,0.068574,0.389254,0.18848,0.101701,0.700437719,0.110151,0.121952,0.19220801,0.25179601,0.325461,0.432899,0.36706999
6.1,0.0709751,0.0769129,0.119193,0.152199,0.305844,0.290412,0.200074,0.335437939,0.09938935,0.10307965,0.197822498,0.254020248,0.343404003,0.416944005,0.344248748
6.2,0.0555544,0.0667251,0.119962,0.17208,0.306865,0.294092,0.20607,0.281420622,0.09938935,0.10307965,0.197822498,0.254020248,0.343404003,0.416944005,0.344248748
6.2,0.0545085,0.0572318,0.112925,0.148483,0.33679,0.280352,0.191058,0.388043431,0.09938935,0.10307965,0.197822498,0.254020248,0.343404003,0.416944005,0.344248748
6.2,0.055909,0.0593639,0.114334,0.13477,0.337193,0.256235,0.168186,0.428895909,0.09938935,0.10307965,0.197822498,0.254020248,0.343404003,0.416944005,0.344248748
6.2,0.0291495,0.0294065,0.0878901,0.109602,0.375873,0.327761,0.21345,0.548475205,0.09938935,0.10307965,0.197822498,0.254020248,0.343404003,0.416944005,0.344248748
6.3,0.0590203,0.0672264,0.123522,0.164903,0.315794,0.272271,0.184519,0.31390044,0.09333505,0.10484035,0.190594,0.2563285,0.33986299,0.4116865,0.334215505
6.3,0.0538538,0.0623504,0.112237,0.161016,0.332975,0.257881,0.170655,0.348101484,0.09333505,0.10484035,0.190594,0.2563285,0.33986299,0.4116865,0.334215505
6.3,0.0250346,0.0254214,0.0653031,0.0712126,0.283699,0.16752,0.104772,0.598702325,0.09333505,0.10484035,0.190594,0.2563285,0.33986299,0.4116865,0.334215505
6.4,0.0494549,0.0516983,0.123717,0.129808,0.508437,0.298652,0.186962,0.593234573,0.096904275,0.106820175,0.1867385,0.24959275,0.339437245,0.4140075,0.334070753
6.4,0.00976213,0.00869051,0.0484136,0.0433073,0.390083,0.141992,0.0742862,0.800146427,0.096904275,0.106820175,0.1867385,0.24959275,0.339437245,0.4140075,0.334070753
6.5,0.0563844,0.0657113,0.123003,0.157898,0.327111,0.243779,0.163073,0.348886309,0.108534333,0.116252,0.189206,0.244319,0.336563667,0.420050333,0.333934667
6.5,0.0600044,0.0665451,0.11219,0.155311,0.323195,0.258333,0.165769,0.350850355,0.108534333,0.116252,0.189206,0.244319,0.336563667,0.420050333,0.333934667
6.5,0.0181074,0.0145578,0.0520331,0.0570015,0.318544,0.206623,0.125538,0.696433588,0.108534333,0.116252,0.189206,0.244319,0.336563667,0.420050333,0.333934667
6.6,0.0477151,0.0545081,0.101909,0.146026,0.261329,0.293605,0.200981,0.283052865,0.110936,0.1202675,0.1960395,0.260538495,0.320289995,0.409483,0.342740505
6.6,0.0711522,0.08024,0.131689,0.170639,0.312656,0.309103,0.223001,0.293851581,0.110936,0.1202675,0.1960395,0.260538495,0.320289995,0.409483,0.342740505
6.6,0.0287089,0.0317674,0.0907629,0.117007,0.405904,0.301625,0.190369,0.552478338,0.110936,0.1202675,0.1960395,0.260538495,0.320289995,0.409483,0.342740505
6.7,0.0676255,0.0738677,0.128521,0.166625,0.322176,0.273552,0.184424,0.318229709,0.10308195,0.1111292,0.183559003,0.25105575,0.321204245,0.412061753,0.333217003
6.8,0.053123,0.0563725,0.109015,0.133788,0.317573,0.261436,0.168691,0.407179619,0.0952279,0.1019909,0.171078505,0.241573005,0.322118495,0.414640505,0.3236935
6.8,0.0592056,0.0643597,0.140379,0.144989,0.562746,0.250527,0.136799,0.590273195,0.0952279,0.1019909,0.171078505,0.241573005,0.322118495,0.414640505,0.3236935
7.2,0.0516452,0.0529732,0.109332,0.135978,0.320418,0.251862,0.178633,0.404122736,0.0819818,0.091132425,0.17105115,0.245789503,0.331431503,0.41113075,0.336726503
7.3,0.110506,0.117452,0.174365,0.204662,0.38427,0.365057,0.315313,0.304972391,0.073346,0.07740135,0.1574398,0.229767,0.322972,0.411872,0.3396495
7.3,0.0976782,0.106706,0.16646,0.205744,0.386903,0.383902,0.271933,0.305677747,0.073346,0.07740135,0.1574398,0.229767,0.322972,0.411872,0.3396495
7.4,0.0589735,0.0676965,0.113597,0.161616,0.296245,0.279535,0.194234,0.294039021,0.0787414,0.093891333,0.16369233,0.25098966,0.324622667,0.41070534,0.330862333
